id,file,reportedtime,occurrencetype,occurrencetypeid,crimetype,crimetypeid,crimecategory,crimecategoryid,location,locationid,neighbourhood,neighbourhoodid,lat,long
4.20E+11,2015-6334,03-09-2015 12:27,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX TERMINAL AVE,23977,Downtown,2,49.163786,-123.934558
4.20E+11,2015-6243,03-08-2015 10:18,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,6XX TERMINAL AVE,23977,Downtown,2,49.163786,-123.934558
4.20E+12,2015-12087,05-07-2015 20:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,7XX 3RD ST,23998,University District,19,49.162809,-123.963853
4.20E+11,2015-9858,4/15/2015 8:23:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,7XX 3RD ST,23998,University District,19,49.162809,-123.963853
4.20E+12,2015-19119,07-07-2015 17:24,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,9XX DOUGLAS AVE,24270,Harewood,10,49.141059,-123.938119
4.20E+11,2015-9339,04-10-2015 16:23,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,9XX HECATE ST,24282,Downtown,2,49.15678,-123.939805
4.20E+12,2015-13011,5/16/2015 9:03:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,X CHAPEL ST,25418,Downtown,2,49.169628,-123.938236
4.20E+11,2015-8941,04-05-2015 23:00,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,X CHAPEL ST,25418,Downtown,2,49.169628,-123.938236
4.20E+11,2015-7904,3/26/2015 10:57:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,X COMMERCIAL ST,25420,Downtown,2,49.163985,-123.936505
4.20E+12,2015-18558,07-02-2015 21:30,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,X TERMINAL AVE N,25448,Downtown,2,49.170357,-123.940992
4.20E+12,2015-15931,06-11-2015 16:18,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX 12TH ST,25462,Harewood,10,49.128965,-123.924808
4.20E+11,2015-9445,04-11-2015 07:30,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX BASTION ST,25486,Downtown,2,49.166864,-123.936197
4.20E+11,2015-8374,3/31/2015 5:54:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX CILAIRE DR,25540,Departure Bay,3,49.193665,-123.966034
4.20E+12,2015-19136,07-07-2015 19:47,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX FRONT ST,25559,Downtown,2,49.169009,-123.937177
4.20E+12,2015-14761,06-01-2015 18:28,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX MILL ST,25593,Downtown,2,49.171846,-123.94451
4.20E+12,2015-17003,6/20/2015 2:02:00 AM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX NICOL ST,25602,Downtown,2,49.163118,-123.933953
4.20E+11,2015-4863,03-07-2015 12:35,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX NICOL ST,25602,Downtown,2,49.163118,-123.933953
4.20E+12,2015-18337,6/30/2015 8:21:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX PRIDEAUX ST,25618,Downtown,2,49.171425,-123.945796
4.20E+12,2015-14188,5/27/2015 10:53:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX PRIDEAUX ST,25618,Downtown,2,49.171425,-123.945796
4.20E+12,2015-14071,5/26/2015 8:39:00 PM,Mischief Under $5000,2170-04,Mischief,2,Property Crime,1,XX VICTORIA CRES,25661,Downtown,2,49.163415,-123.935463
